Method	AP	AP50	AP75	APs	APm	APl	AP-Person	AP-Other	AP-Car
R50-FPN_x3	58,81486752079393	82,39015300337647	67,25800689094432	42,637819831361	69,16754343975427	66,05063434270518	48,29684076277177	nan	69,3328942788161
R50-DC5_x1	53,687227609416176	80,18033047656955	60,061737066293915	36,312827956148155	64,85411456732037	62,0696856738828	42,820550492691936	nan	64,55390472614042
X101-FPN_x3	60,05246282009386	82,42023199552898	68,63081601385234	43,29503007262064	70,00522549105838	67,39500600942418	49,01752518418213	nan	71,08740045600558
R50-FPN_x1	56,80694831977468	81,79566571184365	63,72476060234027	41,55871340573925	66,1584260058349	65,03127300107808	46,111030313079056	nan	67,50286632647033
R50-DC5_x3	56,00873818077322	81,72753184290006	62,247202027625505	38,168267411623994	67,30034948030502	62,631915526319204	45,702881165175036	nan	66,3145951963714
R101-FPN_x3	57,26437465236075	80,35065899312114	64,85053114866794	40,23671975664278	68,01685240166503	62,609464427284564	46,059480793545134	nan	68,46926851117638
R50-C4_x3	57,15756164692786	81,89083763323937	64,25475459465714	38,969153199005106	69,2247319444277	63,81131056440208	47,21853906313761	nan	67,09658423071812
R101-DC5_x3	56,34943235803755	81,11588319020306	63,47886342208636	38,76648840148025	67,53659714289407	64,07181382635486	45,74871098467511	nan	66,95015373139998
City-R50-FPN	55,55262299800889	79,44316816739205	63,925348735149946	40,98676612567915	64,90667594877263	68,41679731353435	47,40180732405489	nan	63,70343867196291
R101-C4_x3	56,67707766642477	81,83916000228379	63,77668486609471	38,156485631572565	68,78032712369053	64,96319403950716	46,95520235114817	nan	66,39895298170137
R50-C4_x1	56,86252435259007	82,08301672052895	63,679457212981596	37,682319676143265	69,4161292588346	66,71229096817704	47,7869213660954	nan	65,93812733908476
